ID,ANC_M,HANDSET,STATUT,CLASSE_CANAL,TARGET,FLAG_CHURN,SCORE_FORFAIT,PRED_FORFAIT,SEGMENT_FORFAIT,SCORE_CHURN,PRED_CHURN,RISQUE_CHURN,ACTION_RECOMMANDEE
C47336513,12,4G,A,Reseau direct,1,0,0.6204116,1,Cible Potentielle,0.037438206,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C98702505,110,5G,A,,0,0,0.62040615,1,Cible Potentielle,0.005897444,0,Risque Faible,NURTURING — pack Combo Voix+Data
C13472878,109,,A,,0,0,0.6203812,1,Cible Potentielle,0.06903165,0,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
C34126533,11,4G,A,Reseau direct,0,0,0.6203633,1,Cible Potentielle,0.021873808,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C99926529,11,4G,A,Reseau direct,0,0,0.6203633,1,Cible Potentielle,0.021873808,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C53136527,11,4G,A,Reseau direct,0,0,0.6203633,1,Cible Potentielle,0.021873808,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C31886535,11,4G,A,Reseau direct,1,0,0.6203633,1,Cible Potentielle,0.021873808,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C55596545,10,4G,A,Reseau direct,0,0,0.6203633,1,Cible Potentielle,0.020616757,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C56746538,11,4G,A,Reseau direct,0,0,0.6203633,1,Cible Potentielle,0.021873808,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C54846537,11,4G,A,Reseau direct,0,0,0.6203633,1,Cible Potentielle,0.021873808,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C37876538,11,4G,A,Reseau direct,1,0,0.6203633,1,Cible Potentielle,0.021873808,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C33506647,6,4G,A,Reseau indirect,0,0,0.62035614,1,Cible Potentielle,0.07479208,0,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
C2381_629,299,4G,A,,0,0,0.62034875,1,Cible Potentielle,0.0040963427,0,Risque Faible,NURTURING — pack Combo Voix+Data
C9391_644,299,4G,A,,0,0,0.62034875,1,Cible Potentielle,0.0040963427,0,Risque Faible,NURTURING — pack Combo Voix+Data
C29992846,114,4G,A,,1,0,0.6203421,1,Cible Potentielle,0.0067672986,0,Risque Faible,NURTURING — pack Combo Voix+Data
C66872837,114,4G,A,,0,0,0.6203421,1,Cible Potentielle,0.0067672986,0,Risque Faible,NURTURING — pack Combo Voix+Data
C38722835,114,4G,A,,0,0,0.6203421,1,Cible Potentielle,0.0067672986,0,Risque Faible,NURTURING — pack Combo Voix+Data
C50652811,115,4G,A,,1,0,0.6203421,1,Cible Potentielle,0.0067672986,0,Risque Faible,NURTURING — pack Combo Voix+Data
C52346529,11,4G,A,Reseau indirect,0,0,0.6202953,1,Cible Potentielle,0.02926932,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C61016542,10,4G,A,Reseau indirect,0,0,0.6202953,1,Cible Potentielle,0.027599253,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C58306539,11,4G,A,Reseau indirect,1,0,0.6202953,1,Cible Potentielle,0.02926932,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C33215677,36,4G,A,Reseau indirect,0,0,0.6202951,1,Cible Potentielle,0.015105992,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C71725686,36,4G,A,Reseau indirect,0,0,0.6202951,1,Cible Potentielle,0.015105992,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C94796501,12,4G,A,Reseau direct,1,0,0.62021065,1,Cible Potentielle,0.026351724,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C06052114,134,4G,A,,0,0,0.6202025,1,Cible Potentielle,0.006403054,0,Risque Faible,NURTURING — pack Combo Voix+Data
C34852091,133,4G,A,,0,0,0.6202025,1,Cible Potentielle,0.006403054,0,Risque Faible,NURTURING — pack Combo Voix+Data
C42812070,135,4G,A,,1,0,0.6202025,1,Cible Potentielle,0.006403054,0,Risque Faible,NURTURING — pack Combo Voix+Data
C7402_913,181,4G,A,,0,0,0.62018657,1,Cible Potentielle,0.0072100204,0,Risque Faible,NURTURING — pack Combo Voix+Data
C66586535,11,4G,A,Reseau direct,1,0,0.620181,1,Cible Potentielle,0.020635387,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C70716542,10,4G,A,Reseau direct,1,0,0.620181,1,Cible Potentielle,0.019448088,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C28956547,10,4G,A,Reseau direct,1,0,0.620181,1,Cible Potentielle,0.019448088,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C22576532,11,4G,A,Reseau direct,0,0,0.620181,1,Cible Potentielle,0.020635387,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C70476529,11,4G,A,Reseau direct,1,0,0.620181,1,Cible Potentielle,0.020635387,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C67056547,10,4G,A,Reseau direct,1,0,0.620181,1,Cible Potentielle,0.019448088,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C93876547,10,4G,A,Reseau direct,1,0,0.620181,1,Cible Potentielle,0.019448088,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C44076537,10,4G,A,Reseau direct,1,0,0.620181,1,Cible Potentielle,0.019448088,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C47956524,11,4G,A,Reseau direct,1,0,0.620181,1,Cible Potentielle,0.020635387,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C38996526,11,4G,A,Reseau direct,0,0,0.620181,1,Cible Potentielle,0.020635387,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C8284_966,182,4G,A,,1,0,0.6201685,1,Cible Potentielle,0.0057169255,0,Risque Faible,NURTURING — pack Combo Voix+Data
C0508_910,183,4G,A,,0,0,0.6201685,1,Cible Potentielle,0.0057169255,0,Risque Faible,NURTURING — pack Combo Voix+Data
C6583_867,184,4G,A,,1,0,0.6201685,1,Cible Potentielle,0.0057169255,0,Risque Faible,NURTURING — pack Combo Voix+Data
C10726571,9,4G,A,Reseau direct,1,0,0.6201288,1,Cible Potentielle,0.024128148,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C80126443,15,,A,Reseau direct,1,0,0.6200612,1,Cible Potentielle,0.100506246,0,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
C22865691,36,4G,A,Reseau direct,1,0,0.62005204,1,Cible Potentielle,0.014925393,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C26225690,36,4G,A,Reseau direct,0,0,0.62005204,1,Cible Potentielle,0.014925393,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C13065678,36,4G,A,Reseau direct,1,0,0.62005204,1,Cible Potentielle,0.014272553,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C38516639,6,4G,A,Reseau indirect,1,0,0.62003607,1,Cible Potentielle,0.02559289,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C81506636,6,4G,A,Reseau indirect,0,0,0.62003607,1,Cible Potentielle,0.02559289,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C24863288,97,2G,A,,1,0,0.6200338,1,Cible Potentielle,0.0078825075,0,Risque Faible,NURTURING — pack Combo Voix+Data
C13953396,95,2G,A,,0,0,0.6200338,1,Cible Potentielle,0.0078825075,0,Risque Faible,NURTURING — pack Combo Voix+Data
C25265706,35,4G,A,Reseau direct,0,0,0.6200316,1,Cible Potentielle,0.014885085,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C97225711,35,4G,A,Reseau direct,1,0,0.6200316,1,Cible Potentielle,0.014885085,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C80625724,35,4G,A,Reseau direct,1,0,0.6200316,1,Cible Potentielle,0.013582495,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C72655699,35,4G,A,Reseau direct,0,0,0.6200316,1,Cible Potentielle,0.013582495,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C0918_663,295,4G,A,,0,0,0.62002546,1,Cible Potentielle,0.0056682415,0,Risque Faible,NURTURING — pack Combo Voix+Data
C06646504,12,4G,A,Reseau direct,0,0,0.62002397,1,Cible Potentielle,0.027436508,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C64076507,12,4G,A,Reseau direct,0,0,0.62002397,1,Cible Potentielle,0.027436508,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C24896701,3,,A,Reseau direct,1,0,0.6200203,1,Cible Potentielle,0.17957114,0,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
C1244_567,273,4G,A,,0,0,0.61999154,1,Cible Potentielle,0.010106441,0,Risque Faible,NURTURING — pack Combo Voix+Data
C2140_629,273,4G,A,,0,0,0.61999154,1,Cible Potentielle,0.010106441,0,Risque Faible,NURTURING — pack Combo Voix+Data
C4969_558,273,4G,A,,0,0,0.61999154,1,Cible Potentielle,0.009662319,0,Risque Faible,NURTURING — pack Combo Voix+Data
C7203_571,273,4G,A,,0,0,0.61999154,1,Cible Potentielle,0.010106441,0,Risque Faible,NURTURING — pack Combo Voix+Data
C3065_582,273,4G,A,,0,0,0.61999154,1,Cible Potentielle,0.010106441,0,Risque Faible,NURTURING — pack Combo Voix+Data
